trade_id,price,1,2,3,4,5,6
3741276,110983.70000000,0.24900000,3927832,3927832,1675222501470,True,True
3741277,110912.70000000,0.24870000,3927833,3927833,1675222501470,True,True
3741278,110905.00000000,0.49250000,3927834,3927834,1675222501470,True,True
3741279,111040.00000000,0.25020000,3927835,3927835,1675222530339,True,True
3741280,111040.00000000,0.24840000,3927836,3927836,1675222531446,True,True
3741281,111040.00000000,0.25210000,3927837,3927837,1675222532427,True,True
3741282,111040.00000000,0.24910000,3927838,3927838,1675222533430,True,True
3741283,111040.00000000,0.24760000,3927839,3927839,1675222534404,True,True
3741284,111040.00000000,0.03640000,3927840,3927840,1675222535386,True,True
3741285,111052.30000000,0.16430000,3927841,3927841,1675222916078,False,True
3741286,111069.10000000,0.01950000,3927842,3927842,1675223625920,True,True
3741287,111069.10000000,0.04890000,3927843,3927843,1675223688605,True,True
3741288,111132.40000000,0.62400000,3927844,3927844,1675223928365,False,True
3741289,111132.30000000,0.62400000,3927845,3927845,1675223928883,False,True
3741290,111122.20000000,0.34640000,3927846,3927846,1675223948215,False,True
3741291,111123.80000000,0.11550000,3927847,3927847,1675223958259,False,True
3741292,111119.30000000,0.07670000,3927848,3927848,1675223979494,False,True
3741293,111119.10000000,0.05120000,3927849,3927849,1675223981292,False,True
3741294,111116.20000000,0.01950000,3927850,3927850,1675224001429,False,True
3741295,111099.20000000,0.02770000,3927851,3927851,1675224012503,False,True
3741296,111250.40000000,0.00180000,3927852,3927852,1675224046359,False,True
3741297,111097.90000000,0.02790000,3927853,3927853,1675224049430,False,True
3741298,111158.00000000,0.04380000,3927854,3927854,1675224664453,True,True
3741299,111066.70000000,0.62400000,3927855,3927855,1675224676069,True,True
3741300,111024.10000000,0.25160000,3927856,3927856,1675224676069,True,True
3741301,110975.30000000,0.17250000,3927857,3927857,1675224676069,True,True
3741302,111042.70000000,0.00180000,3927858,3927858,1675224677105,True,True
3741303,111042.60000000,0.24810000,3927859,3927859,1675224677105,True,True
3741304,110975.30000000,0.43790000,3927860,3927860,1675224677105,True,True
3741305,110929.60000000,0.36010000,3927861,3927861,1675224677105,True,True
3741306,111081.60000000,0.00960000,3927862,3927862,1675224678156,True,True
3741307,111085.80000000,0.00180000,3927863,3927863,1675225243837,True,True
3741308,111164.80000000,0.00960000,3927864,3927864,1675225279124,False,True
3741309,111146.20000000,0.00900000,3927865,3927865,1675225387567,True,True
3741310,111167.20000000,0.62400000,3927866,3927866,1675225480280,True,True
3741311,111167.20000000,0.00270000,3927867,3927867,1675226035709,True,True
3741312,111018.40000000,0.44420000,3927868,3927868,1675226152461,True,True
3741313,110974.00000000,0.25100000,3927869,3927869,1675226152461,True,True
3741314,110965.80000000,0.08880000,3927870,3927870,1675226152461,True,True
3741315,110965.80000000,0.53520000,3927871,3927871,1675226162292,True,True
3741316,110929.60000000,0.24910000,3927872,3927872,1675226162292,True,True
3741317,110984.60000000,0.03560000,3927873,3927873,1675226182372,True,True
3741318,111196.60000000,0.06310000,3927874,3927874,1675226290472,False,True
3741319,111160.20000000,0.00930000,3927875,3927875,1675226291608,True,True
3741320,111196.60000000,0.06380000,3927876,3927876,1675226292808,False,True
3741321,111196.60000000,0.49710000,3927877,3927877,1675226362875,False,True
3741322,111244.30000000,0.00090000,3927878,3927878,1675226738078,True,True
3741323,111314.10000000,0.00760000,3927879,3927879,1675227016194,False,True
3741324,111166.90000000,0.03720000,3927880,3927880,1675227362635,True,True
3741325,111298.00000000,0.56560000,3927881,3927881,1675227533444,True,True
3741326,111307.50000000,0.18870000,3927882,3927882,1675227535876,True,True
3741327,111140.40000000,0.03250000,3927883,3927883,1675228015035,True,True
3741328,111083.50000000,0.44710000,3927884,3927884,1675228870350,True,True
3741329,111065.40000000,0.06430000,3927885,3927885,1675228870350,True,True
3741330,111250.30000000,0.00380000,3927886,3927886,1675228925182,False,True
3741331,111250.30000000,0.06050000,3927887,3927887,1675229105694,False,True
3741332,111396.70000000,0.04750000,3927888,3927888,1675229712010,False,True
3741333,111281.10000000,0.03970000,3927889,3927889,1675229958279,True,True
3741334,111206.30000000,0.10800000,3927890,3927890,1675230452874,True,True
3741335,111187.40000000,0.04900000,3927891,3927891,1675231251554,True,True
3741336,111170.50000000,0.04760000,3927892,3927892,1675231297407,True,True
3741337,111170.40000000,0.00730000,3927893,3927893,1675231297407,True,True
3741338,111306.60000000,0.46370000,3927894,3927894,1675231397387,True,True
3741339,111270.90000000,0.12590000,3927895,3927895,1675231417494,True,True
3741340,111335.80000000,0.00360000,3927896,3927896,1675231513641,False,True
3741341,111335.70000000,0.00770000,3927897,3927897,1675231882065,False,True
3741342,110933.20000000,0.02280000,3927898,3927898,1675232491218,False,True
3741343,110933.20000000,0.02280000,3927899,3927899,1675232491296,False,True
3741344,110933.20000000,0.02280000,3927900,3927900,1675232491364,False,True
3741345,110933.20000000,0.05830000,3927901,3927901,1675232552488,False,True
3741346,110933.20000000,0.06330000,3927902,3927902,1675232558093,False,True
3741347,110848.60000000,0.00330000,3927903,3927903,1675232760215,True,True
3741348,110933.10000000,0.43030000,3927904,3927904,1675233180105,False,True
3741349,110905.50000000,0.03870000,3927905,3927905,1675233204563,True,True
3741350,111051.10000000,0.00320000,3927906,3927906,1675233387958,True,True
3741351,111151.90000000,0.04880000,3927907,3927907,1675233466763,False,True
3741352,111025.20000000,0.07090000,3927908,3927908,1675233910041,True,True
3741353,111153.40000000,0.00830000,3927909,3927909,1675234065523,False,True
3741354,111025.20000000,0.10330000,3927910,3927910,1675234421669,True,True
3741355,110790.50000000,0.01400000,3927911,3927911,1675234664504,True,True
3741356,110828.50000000,0.01280000,3927912,3927912,1675234805992,True,True
3741357,110790.40000000,0.00680000,3927913,3927913,1675234821450,True,True
3741358,110759.30000000,0.00260000,3927914,3927914,1675234861916,True,True
3741359,110677.50000000,0.00100000,3927915,3927915,1675234869366,False,True
3741360,110677.30000000,0.00900000,3927916,3927916,1675234879975,False,True
3741361,110677.30000000,0.06190000,3927917,3927917,1675234880930,False,True
3741362,110650.20000000,0.07130000,3927918,3927918,1675234892456,False,True
3741363,110680.30000000,0.55270000,3927919,3927919,1675234941782,False,True
3741364,111069.90000000,0.04140000,3927920,3927920,1675235989924,False,True
3741365,111020.00000000,0.07630000,3927921,3927921,1675236198094,True,True
3741366,111070.00000000,0.00500000,3927922,3927922,1675236292269,False,True
3741367,111161.60000000,0.01030000,3927923,3927923,1675236292269,False,True
3741368,110908.20000000,0.00980000,3927924,3927924,1675237090826,True,True
3741369,110908.20000000,0.04310000,3927925,3927925,1675237119895,False,True
3741370,110847.80000000,0.02440000,3927926,3927926,1675237203162,True,True
3741371,110848.00000000,0.04510000,3927927,3927927,1675237279380,True,True
3741372,111002.90000000,0.06380000,3927928,3927928,1675237333577,False,True
3741373,111003.00000000,0.15190000,3927929,3927929,1675237333577,False,True
