trade_id,price,1,2,3,4,5,6
3796851,137372.10000000,0.00470000,3984704,3984704,1679892619751,True,True
3796852,137499.80000000,0.02170000,3984705,3984705,1679892671235,False,True
3796853,137700.00000000,0.03390000,3984706,3984706,1679892950783,False,True
3796854,137700.00000000,0.00180000,3984707,3984707,1679893178737,False,True
3796855,137267.50000000,0.00260000,3984708,3984708,1679894163653,True,True
3796856,137442.60000000,0.00270000,3984709,3984709,1679894316100,False,True
3796857,137549.00000000,0.28370000,3984710,3984710,1679894512962,False,True
3796858,137553.00000000,0.00330000,3984711,3984711,1679894512962,False,True
3796859,137170.40000000,0.00100000,3984712,3984712,1679894633862,True,True
3796860,137296.20000000,0.02600000,3984713,3984713,1679894942076,True,True
3796861,137331.30000000,0.00250000,3984714,3984714,1679895979285,True,True
3796862,137331.30000000,0.00080000,3984715,3984715,1679896179213,True,True
3796863,137161.70000000,0.00510000,3984716,3984716,1679896294979,True,True
3796864,137161.70000000,0.05840000,3984717,3984717,1679896322267,True,True
3796865,137161.70000000,0.01330000,3984718,3984718,1679896322590,True,True
3796866,137147.10000000,0.00110000,3984719,3984719,1679896335781,True,True
3796867,137142.20000000,0.00090000,3984720,3984720,1679896335832,True,True
3796868,137100.00000000,0.01480000,3984721,3984721,1679896335974,True,True
3796869,136894.90000000,0.00080000,3984722,3984722,1679896363124,True,True
3796870,136893.60000000,0.00110000,3984723,3984723,1679896363140,True,True
3796871,136883.00000000,0.00080000,3984724,3984724,1679896363163,True,True
3796872,136800.00000000,0.00730000,3984725,3984725,1679896371921,True,True
3796873,136675.00000000,0.00210000,3984726,3984726,1679896389388,True,True
3796874,136668.40000000,0.00180000,3984727,3984727,1679896389406,True,True
3796875,136666.20000000,0.00090000,3984728,3984728,1679896389430,True,True
3796876,136640.00000000,0.00110000,3984729,3984729,1679896389819,True,True
3796877,136502.70000000,0.39930000,3984730,3984730,1679896390260,True,True
3796878,136501.20000000,0.28520000,3984731,3984731,1679896390651,False,True
3796879,136502.80000000,0.20010000,3984732,3984732,1679896391860,False,True
3796880,136397.80000000,0.11410000,3984733,3984733,1679896508093,True,True
3796881,136386.50000000,0.00110000,3984734,3984734,1679896508772,True,True
3796882,136331.20000000,0.00320000,3984735,3984735,1679896510212,True,True
3796883,136326.70000000,0.00180000,3984736,3984736,1679896510275,True,True
3796884,136309.30000000,0.03770000,3984737,3984737,1679896510323,True,True
3796885,136190.00000000,0.00090000,3984738,3984738,1679896510560,True,True
3796886,136148.30000000,0.02250000,3984739,3984739,1679896510560,True,True
3796887,136325.50000000,0.05840000,3984740,3984740,1679896725330,False,True
3796888,136198.00000000,0.21310000,3984741,3984741,1679896732493,True,True
3796889,136198.10000000,0.02390000,3984742,3984742,1679897279367,True,True
3796890,136394.10000000,0.01640000,3984743,3984743,1679897992767,True,True
3796891,136596.70000000,0.01640000,3984744,3984744,1679898109279,False,True
3796892,136584.00000000,0.50950000,3984745,3984745,1679898174140,False,True
3796893,136596.80000000,0.11390000,3984746,3984746,1679898174140,False,True
3796894,136600.90000000,0.11640000,3984747,3984747,1679898174140,False,True
3796895,136608.80000000,0.12130000,3984748,3984748,1679898174140,False,True
3796896,136608.90000000,0.16110000,3984749,3984749,1679898174140,False,True
